Age,Gender,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,Marital_Status_Married,Marital_Status_Single,Department_HR,Department_IT,Department_Marketing,Department_Sales,Job_Role_Assistant,Job_Role_Executive,Job_Role_Manager,Salary_Experience_Ratio,Workload_Score,Overall_Satisfaction_Index,Career_Stagnation_Ratio,Is_Overworked,High_Absenteeism,Age_Group_Millennial,Age_Group_Gen_X,Age_Group_Boomer
37,0,2,19000,89,27,7,3,4,4,3,29,1,1,36,0,3,3,3,22,1,0,False,False,False,False,True,False,False,False,False,678.5714285714286,36,3.25,0.25,0,0,False,True,False
23,0,5,18537,94,21,14,4,4,5,1,85,1,8,35,7,4,1,4,5,1,1,True,False,False,False,False,False,False,False,True,842.5909090909091,280,3.5,0.6363636363636364,0,1,False,False,False
44,0,1,4888,32,25,6,1,4,4,4,1,0,7,46,1,4,2,4,9,3,0,False,False,False,True,False,False,True,False,False,188.0,322,3.5,0.23076923076923078,1,0,False,True,False
33,1,3,19752,89,14,12,7,2,1,3,8,0,6,54,7,1,4,2,18,4,0,True,False,True,False,False,False,True,False,False,1316.8,324,2.0,0.8,1,1,True,False,False
28,0,2,4762,25,19,10,6,3,4,2,57,0,7,51,10,4,3,4,21,2,1,True,False,False,False,False,True,False,False,True,238.1,357,3.75,0.5,1,1,True,False,False
45,0,5,19760,87,15,8,8,3,1,2,3,0,2,32,3,1,4,2,45,1,0,True,False,False,False,False,False,False,False,False,1235.0,64,2.0,0.5,0,0,False,False,True
21,1,1,3002,69,21,11,7,4,5,4,71,0,8,32,16,3,1,2,6,2,0,False,False,False,False,False,True,False,True,False,136.45454545454547,256,2.75,0.5,0,1,False,False,False
39,1,2,3763,17,3,8,6,2,1,1,18,0,7,45,12,2,1,2,44,1,0,False,True,True,False,False,False,False,False,False,940.75,315,1.5,2.0,0,1,False,True,False
47,0,1,18754,92,9,5,8,1,2,1,84,1,1,51,8,2,4,3,29,1,0,False,False,True,False,False,False,False,True,False,1875.4,51,2.75,0.5,1,1,False,False,True
26,0,1,5482,30,25,13,9,4,4,2,13,1,8,45,8,1,2,3,19,3,1,True,False,True,False,False,False,False,True,False,210.84615384615384,360,2.5,0.5,0,1,True,False,False
27,0,2,13921,23,10,12,4,2,2,3,0,1,7,36,3,4,1,2,47,1,0,False,True,False,False,True,False,False,False,True,1265.5454545454545,252,2.25,1.0909090909090908,0,0,True,False,False
54,1,2,16054,82,29,13,2,4,3,1,19,1,2,49,14,4,4,1,39,3,0,False,True,False,False,False,True,True,False,False,535.1333333333333,98,3.0,0.43333333333333335,1,1,False,False,True
33,1,5,5475,59,7,4,5,4,5,3,82,1,3,42,7,1,1,1,46,1,0,True,False,False,False,True,False,False,False,True,684.375,126,2.0,0.5,0,1,True,False,False
36,0,2,9049,16,14,11,8,2,5,3,79,1,6,36,6,2,1,1,4,1,0,False,False,True,False,False,False,False,True,False,603.2666666666667,216,2.25,0.7333333333333333,0,1,False,True,False
55,1,5,12256,36,17,7,5,2,4,4,73,0,6,32,19,3,2,3,44,1,0,False,True,False,False,False,False,False,False,True,680.8888888888889,192,3.0,0.3888888888888889,0,1,False,False,True
59,0,1,8997,83,25,9,2,4,4,1,65,1,4,48,16,1,2,1,39,1,1,False,True,True,False,False,False,False,True,False,346.03846153846155,192,2.0,0.34615384615384615,1,1,False,False,True
23,0,2,10424,63,14,13,1,3,5,2,64,1,8,42,19,2,1,4,41,4,0,False,False,False,False,True,False,False,False,True,694.9333333333333,336,3.0,0.8666666666666667,0,1,False,False,False
21,1,5,9786,35,25,2,4,1,4,2,7,0,2,49,16,4,3,1,34,4,1,False,False,True,False,False,False,True,False,False,376.38461538461536,98,3.0,0.07692307692307693,1,1,False,False,False
25,0,5,16413,88,10,12,7,3,1,2,8,1,3,57,12,4,2,4,44,1,1,False,True,True,False,False,False,True,False,False,1492.090909090909,171,2.75,1.0909090909090908,1,1,True,False,False
23,1,3,14084,69,5,7,7,2,1,4,38,1,7,47,11,1,2,2,3,3,0,False,False,False,False,True,False,False,False,False,2347.3333333333335,329,1.5,1.1666666666666667,1,1,False,False,False
48,1,5,7465,18,27,6,0,1,1,4,63,0,4,36,11,1,4,2,46,3,0,False,True,False,False,True,False,False,True,False,266.60714285714283,144,2.0,0.21428571428571427,0,1,False,False,True
37,0,5,7946,72,18,3,2,1,5,2,56,0,8,34,1,3,4,2,28,2,0,True,False,False,False,False,False,False,True,False,418.2105263157895,272,3.5,0.15789473684210525,0,0,False,True,False
45,1,3,13514,84,29,2,4,4,5,4,81,1,9,38,17,1,2,3,12,3,1,False,False,False,False,True,False,False,False,True,450.46666666666664,342,2.75,0.06666666666666667,0,1,False,False,True
53,0,4,11238,73,17,1,0,3,2,2,14,0,6,54,11,3,3,4,10,3,0,False,True,False,False,False,False,False,False,False,624.3333333333334,324,3.0,0.05555555555555555,1,1,False,False,True
29,1,2,6661,40,18,2,5,2,3,2,79,0,6,46,17,3,1,1,13,1,0,False,False,False,True,False,False,True,False,False,350.57894736842104,276,2.0,0.10526315789473684,1,1,True,False,False
55,0,3,5564,88,4,12,3,2,4,3,84,1,6,58,7,1,3,4,29,4,1,False,False,False,True,False,False,False,False,True,1112.8,348,3.0,2.4,1,1,False,False,True
33,0,5,7927,83,20,5,8,1,5,2,24,0,8,45,2,3,4,3,46,1,0,False,True,False,False,True,False,False,False,False,377.4761904761905,360,3.75,0.23809523809523808,0,0,True,False,False
50,0,5,13858,53,1,1,1,3,2,1,87,0,2,42,13,1,1,1,23,3,0,True,False,True,False,False,False,True,False,False,6929.0,84,1.25,0.5,0,1,False,False,True
34,1,2,18295,15,13,8,9,3,3,4,15,0,2,41,2,4,3,3,23,2,0,False,True,False,False,False,True,False,False,True,1306.7857142857142,82,3.25,0.5714285714285714,0,0,True,False,False
27,0,1,4452,71,29,4,4,2,1,1,48,1,6,39,3,3,1,4,27,4,0,False,False,True,False,False,False,True,False,False,148.4,234,2.25,0.13333333333333333,0,0,True,False,False
33,1,3,9179,62,24,3,4,3,4,2,72,1,7,47,1,4,1,2,44,4,0,False,True,False,False,True,False,False,True,False,367.16,329,2.75,0.12,1,0,True,False,False
42,1,4,5454,86,10,10,5,1,5,2,78,1,6,49,13,2,4,3,6,3,0,False,False,False,False,False,False,False,False,False,495.8181818181818,294,3.5,0.9090909090909091,1,1,False,True,False
59,1,2,7060,35,28,2,4,2,2,1,47,0,3,34,17,3,3,2,19,2,0,False,True,True,False,False,False,True,False,False,243.44827586206895,102,2.5,0.06896551724137931,0,1,False,False,True
40,1,2,17747,45,15,1,9,4,1,1,76,1,6,36,8,4,4,1,25,1,0,True,False,False,True,False,False,False,False,False,1109.1875,216,2.5,0.0625,0,1,False,True,False
35,1,3,14955,72,24,8,9,4,3,4,59,0,3,50,1,2,4,1,13,3,1,True,False,False,False,True,False,False,False,True,598.2,150,2.5,0.32,1,0,False,True,False
37,0,5,11970,61,24,9,8,1,2,1,60,0,1,58,4,3,1,4,11,2,0,True,False,True,False,False,False,False,False,False,478.8,58,2.5,0.36,1,0,False,True,False
43,1,5,17226,37,5,3,0,3,3,2,43,0,4,30,2,4,4,4,46,2,0,True,False,True,False,False,False,False,False,True,2871.0,120,3.75,0.5,0,0,False,True,False
45,0,4,16119,89,26,3,7,2,5,4,23,0,4,49,14,4,3,3,6,2,0,False,True,False,False,False,False,False,False,False,597.0,196,3.75,0.1111111111111111,1,1,False,False,True
44,0,3,16384,94,18,9,5,1,2,4,50,0,2,50,5,4,2,3,46,1,0,True,False,False,False,False,False,False,False,True,862.3157894736842,100,2.75,0.47368421052631576,1,0,False,True,False
48,1,2,4601,21,4,7,8,2,4,1,32,1,6,44,15,4,1,1,19,4,0,False,True,False,False,False,False,False,False,True,920.2,264,2.5,1.4,0,1,False,False,True
34,0,3,6843,63,1,12,9,2,1,2,11,0,5,41,2,2,3,3,23,3,0,False,False,False,False,False,True,False,False,True,3421.5,205,2.25,6.0,0,0,True,False,False
20,0,1,18744,45,10,12,6,1,2,4,9,1,1,31,8,2,1,2,32,1,1,False,False,False,False,True,False,True,False,False,1704.0,31,1.75,1.0909090909090908,0,1,False,False,False
44,1,2,6675,61,17,9,2,4,5,2,30,0,2,46,6,1,2,2,43,2,0,False,False,False,False,True,False,False,True,False,370.8333333333333,92,2.5,0.5,1,1,False,True,False
26,0,4,15049,82,28,2,7,2,5,2,55,1,6,43,10,4,1,2,49,1,0,True,False,False,True,False,False,False,False,False,518.9310344827586,258,3.0,0.06896551724137931,0,1,True,False,False
28,1,4,4005,49,26,7,9,2,3,2,3,0,3,59,12,3,3,3,21,4,0,True,False,False,True,False,False,False,True,False,148.33333333333334,177,3.0,0.25925925925925924,1,1,True,False,False
43,1,2,3231,89,3,14,2,2,3,1,35,0,7,47,6,4,4,4,36,3,0,True,False,False,False,True,False,False,True,False,807.75,329,3.75,3.5,1,1,False,True,False
20,1,5,14845,48,4,13,2,1,4,3,9,0,1,45,16,1,3,4,26,3,1,False,False,True,False,False,False,False,True,False,2969.0,45,3.0,2.6,0,1,False,False,False
27,0,2,19374,72,12,8,3,1,5,4,66,0,7,49,3,4,2,4,23,4,0,False,False,False,False,True,False,False,True,False,1490.3076923076924,343,3.75,0.6153846153846154,1,0,True,False,False
43,0,2,19230,29,27,11,2,4,5,4,21,0,3,45,10,2,3,3,24,3,0,False,False,False,False,False,True,False,False,False,686.7857142857143,135,3.25,0.39285714285714285,0,1,False,True,False
30,0,1,18389,92,28,4,5,2,5,4,84,1,6,55,17,1,4,3,8,1,0,False,False,False,True,False,False,False,False,False,634.1034482758621,330,3.25,0.13793103448275862,1,1,True,False,False
36,0,2,7970,99,11,13,6,1,1,3,37,0,1,32,19,3,2,1,4,4,0,False,True,False,True,False,False,False,True,False,664.1666666666666,32,1.75,1.0833333333333333,0,1,False,True,False
27,1,3,18092,85,3,10,2,2,1,4,45,0,1,43,16,4,2,2,16,2,0,False,True,False,True,False,False,False,False,False,4523.0,43,2.25,2.5,0,1,True,False,False
54,1,3,12089,95,28,11,2,4,5,3,66,1,1,57,8,2,3,4,20,4,0,True,False,False,False,True,False,False,False,False,416.86206896551727,57,3.5,0.3793103448275862,1,1,False,False,True
54,0,4,17867,56,11,4,6,3,1,1,28,0,6,37,19,1,2,2,21,1,1,True,False,False,True,False,False,False,False,True,1488.9166666666667,222,1.5,0.3333333333333333,0,1,False,False,True
52,1,5,10882,32,3,12,9,3,5,1,50,0,2,33,8,3,3,1,49,3,0,False,False,False,True,False,False,False,False,False,2720.5,66,3.0,3.0,0,1,False,False,True
24,0,4,11343,92,24,2,8,3,3,2,59,1,8,33,18,2,1,4,40,1,1,False,True,False,False,True,False,True,False,False,453.72,264,2.5,0.08,0,1,False,False,False
58,1,1,19555,52,4,2,2,4,3,4,58,0,9,50,5,2,2,4,48,3,0,False,True,True,False,False,False,False,True,False,3911.0,450,2.75,0.4,1,0,False,False,True
47,1,2,8524,78,3,4,5,1,1,4,4,1,6,30,1,2,3,2,47,2,0,True,False,False,True,False,False,False,False,False,2131.0,180,2.0,1.0,0,0,False,False,True
26,1,4,4429,43,25,4,4,2,3,4,2,1,9,59,0,3,1,3,31,1,0,False,True,False,True,False,False,False,True,False,170.34615384615384,531,2.5,0.15384615384615385,1,0,True,False,False
28,1,2,6199,24,12,5,7,1,3,3,63,1,7,30,0,2,4,1,8,4,0,True,False,False,True,False,False,False,False,False,476.84615384615387,210,2.5,0.38461538461538464,0,0,True,False,False
27,1,4,13090,31,12,10,8,3,4,1,93,0,3,45,19,4,2,3,35,4,0,False,False,False,False,False,True,False,True,False,1006.9230769230769,135,3.25,0.7692307692307693,0,1,True,False,False
31,0,2,10432,46,17,14,7,3,4,2,46,1,9,42,7,3,4,3,29,3,0,False,False,False,False,True,False,True,False,False,579.5555555555555,378,3.5,0.7777777777777778,0,1,True,False,False
53,0,4,17069,75,24,10,0,2,5,2,39,1,7,55,13,3,3,3,6,2,0,True,False,False,True,False,False,False,False,False,682.76,385,3.5,0.4,1,1,False,False,True
52,1,3,19483,98,21,13,6,2,2,2,7,0,5,43,5,3,2,2,11,2,0,False,False,False,False,False,True,False,False,False,885.5909090909091,215,2.25,0.5909090909090909,0,0,False,False,True
42,0,1,16875,95,8,10,7,4,2,4,55,0,7,50,13,4,2,2,25,2,1,False,False,True,False,False,False,True,False,False,1875.0,350,2.5,1.1111111111111112,1,1,False,True,False
43,1,4,16196,60,10,9,4,2,4,4,76,1,3,51,9,4,2,1,4,2,0,False,True,True,False,False,False,False,False,False,1472.3636363636363,153,2.75,0.8181818181818182,1,1,False,True,False
56,1,3,19970,85,16,11,3,1,5,2,53,0,1,44,5,3,1,1,41,4,0,False,True,False,False,False,True,False,True,False,1174.7058823529412,44,2.5,0.6470588235294118,0,0,False,False,True
54,1,5,14159,70,19,9,6,1,4,2,83,0,3,32,10,1,4,4,31,1,0,False,True,True,False,False,False,True,False,False,707.95,96,3.25,0.45,0,1,False,False,True
59,1,4,19639,75,15,7,5,2,3,2,76,0,8,33,13,1,1,1,30,3,0,False,True,False,False,False,False,False,False,True,1227.4375,264,1.5,0.4375,0,1,False,False,True
41,0,2,6007,58,22,6,1,1,5,1,5,1,4,44,1,3,1,1,18,3,0,False,True,True,False,False,False,False,True,False,261.17391304347825,176,2.5,0.2608695652173913,0,0,False,True,False
46,1,1,16966,52,11,10,8,1,5,4,73,0,6,37,17,4,4,4,34,2,0,True,False,False,False,False,False,False,False,False,1413.8333333333333,222,4.25,0.8333333333333334,0,1,False,False,True
54,0,3,16696,64,7,5,2,3,2,2,52,0,5,34,18,2,4,4,39,3,0,True,False,False,False,False,True,False,True,False,2087.0,170,3.0,0.625,0,1,False,False,True
20,1,3,15402,88,24,4,0,3,2,4,25,0,6,54,9,1,3,3,21,1,1,False,True,False,False,False,False,True,False,False,616.08,324,2.25,0.16,1,1,False,False,False
54,1,1,8112,46,7,2,2,2,2,1,69,1,1,47,15,1,3,3,32,2,0,False,False,True,False,False,False,False,False,False,1014.0,47,2.25,0.25,1,1,False,False,True
56,0,4,4580,67,23,4,0,2,1,1,25,0,2,51,0,4,1,2,46,2,0,False,False,False,True,False,False,False,False,False,190.83333333333334,102,2.0,0.16666666666666666,1,0,False,False,True
33,1,2,6226,62,18,11,9,2,3,3,27,1,9,59,18,4,1,1,41,3,0,True,False,False,False,False,False,True,False,False,327.6842105263158,531,2.25,0.5789473684210527,1,1,True,False,False
22,1,5,7590,95,19,7,6,3,3,3,75,0,3,54,6,3,3,3,7,4,0,True,False,True,False,False,False,False,False,True,379.5,162,3.0,0.35,1,1,False,False,False
20,0,4,19465,15,16,1,5,1,3,4,52,0,2,43,14,1,4,1,22,3,0,True,False,False,True,False,False,False,False,False,1145.0,86,2.25,0.058823529411764705,0,1,False,False,False
24,0,1,6012,44,22,3,7,4,3,4,60,0,5,50,12,2,2,1,34,1,0,False,False,False,False,False,True,False,False,False,261.39130434782606,250,2.0,0.13043478260869565,1,1,False,False,False
45,0,4,8301,23,3,4,3,1,3,4,39,1,5,42,5,4,4,2,49,3,0,True,False,False,False,False,True,False,False,False,2075.25,210,3.25,1.0,0,0,False,False,True
33,1,4,6112,47,25,7,5,4,3,2,67,0,6,50,8,3,1,2,32,3,0,False,False,False,False,True,False,False,False,True,235.07692307692307,300,2.25,0.2692307692307692,1,1,True,False,False
58,1,1,9588,40,25,3,2,3,1,4,87,1,3,42,12,3,3,2,9,4,0,True,False,False,False,False,True,False,True,False,368.7692307692308,126,2.25,0.11538461538461539,0,1,False,False,True
46,0,1,8381,56,6,4,3,4,5,4,14,0,5,40,15,3,3,1,43,3,1,False,False,False,False,True,False,False,False,True,1197.2857142857142,200,3.0,0.5714285714285714,0,1,False,False,True
28,0,5,17067,88,1,1,5,2,2,2,87,0,5,50,5,2,2,1,33,3,0,True,False,False,False,False,True,False,True,False,8533.5,250,1.75,0.5,1,0,True,False,False
34,1,1,5104,56,1,12,4,2,2,3,12,1,8,59,18,4,1,1,6,1,0,True,False,False,False,False,True,False,False,False,2552.0,472,2.0,6.0,1,1,True,False,False
34,1,1,10726,53,15,1,1,2,2,2,66,0,5,56,14,2,2,2,24,4,0,False,False,False,False,False,True,False,True,False,670.375,280,2.0,0.0625,1,1,True,False,False
45,0,1,12790,75,20,10,8,2,3,1,90,1,1,35,7,4,1,4,15,1,0,True,False,False,False,True,False,False,True,False,609.047619047619,35,3.0,0.47619047619047616,0,1,False,False,True
32,0,3,11770,61,11,12,1,1,2,1,44,0,1,59,10,1,3,1,13,4,0,False,True,False,False,True,False,False,True,False,980.8333333333334,59,1.75,1.0,1,1,True,False,False
51,0,1,12106,56,10,3,7,2,1,4,78,0,1,37,8,1,3,1,14,2,0,False,False,False,False,False,False,False,True,False,1100.5454545454545,37,1.5,0.2727272727272727,0,1,False,False,True
58,0,1,17006,62,24,7,4,4,3,4,25,1,9,45,1,4,2,4,14,4,1,True,False,True,False,False,False,False,False,False,680.24,405,3.25,0.28,0,0,False,False,True
51,1,1,3774,66,3,13,6,3,3,4,55,1,7,37,1,4,3,2,10,3,0,False,False,True,False,False,False,True,False,False,943.5,259,3.0,3.25,0,0,False,False,True
23,1,5,3056,47,4,11,5,2,1,2,22,0,3,30,4,2,3,2,27,1,0,True,False,True,False,False,False,False,False,True,611.2,90,2.0,2.2,0,0,False,False,False
49,1,4,10226,41,12,6,1,1,5,3,38,0,2,49,5,4,4,4,45,2,0,False,True,False,False,False,True,False,True,False,786.6153846153846,98,4.25,0.46153846153846156,1,0,False,False,True
56,1,1,3545,57,27,5,3,2,1,2,96,0,2,38,6,2,2,1,39,4,0,True,False,True,False,False,False,False,False,False,126.60714285714286,76,1.5,0.17857142857142858,0,1,False,False,True
42,0,1,7906,43,6,8,8,2,1,4,20,1,6,43,4,1,3,2,13,3,0,True,False,False,False,True,False,False,False,False,1129.4285714285713,258,1.75,1.1428571428571428,0,0,False,True,False
58,1,5,12605,33,27,11,6,1,1,3,13,0,6,41,10,4,1,4,39,2,0,False,True,False,False,False,False,False,False,False,450.17857142857144,246,2.5,0.39285714285714285,0,1,False,False,True
34,0,4,9395,96,25,8,0,3,5,1,12,1,6,51,2,2,1,1,12,1,0,False,False,False,True,False,False,False,False,False,361.34615384615387,306,2.25,0.3076923076923077,1,0,True,False,False
48,1,5,17501,42,20,4,3,1,2,3,31,0,2,34,1,2,1,2,45,4,0,True,False,False,False,False,False,False,True,False,833.3809523809524,68,1.75,0.19047619047619047,0,0,False,False,True
55,1,2,15275,24,19,10,9,4,1,3,11,0,7,50,0,2,3,2,29,1,0,True,False,True,False,False,False,False,False,True,763.75,350,2.0,0.5,1,0,False,False,True
32,1,2,6388,81,26,6,2,1,3,2,62,1,3,43,18,4,1,3,12,2,0,False,True,True,False,False,False,False,False,False,236.59259259259258,129,2.75,0.2222222222222222,0,1,True,False,False
51,0,2,13821,30,26,12,0,4,2,3,51,0,1,43,1,2,1,4,40,3,0,False,False,False,False,True,False,False,False,True,511.8888888888889,43,2.25,0.4444444444444444,0,0,False,False,True
26,1,1,3571,15,16,1,4,2,2,3,73,1,3,49,1,3,1,1,31,2,0,False,False,False,False,False,False,False,False,True,210.05882352941177,147,1.75,0.058823529411764705,1,0,True,False,False
41,0,5,19109,96,25,10,8,1,4,1,21,0,6,34,18,2,3,1,23,3,0,False,True,False,False,True,False,False,False,True,734.9615384615385,204,2.5,0.38461538461538464,0,1,False,True,False
47,0,1,6927,18,23,14,3,2,1,3,46,1,7,59,19,4,4,2,45,3,0,False,True,False,False,True,False,True,False,False,288.625,413,2.75,0.5833333333333334,1,1,False,False,True
21,1,2,19731,83,25,12,1,1,2,2,24,1,3,47,9,4,4,3,31,4,0,True,False,False,True,False,False,False,False,False,758.8846153846154,141,3.25,0.46153846153846156,1,1,False,False,False
25,0,4,7592,99,27,10,6,4,3,1,92,1,8,38,2,4,4,1,19,2,0,False,True,False,False,True,False,False,False,False,271.14285714285717,304,3.0,0.35714285714285715,0,0,True,False,False
